area_id,area_name,land_area,population,number_of_dwellings,population_density,dwelling_density,transport_density,ZP,ZD,ZT,retail_trade_z,accommodation_and_food_services_z,health_care_and_social_assistance_z,education_and_training_z,arts_and_recreation_services_z,carpods_num,busstops_num,librarybookstore_num,parksplaygrounds_num,trainstation_num
116031315,Hassall Grove - Plumpton,620.5,21429,5072,34.53505238,8.174053183,0.0,0.6342665710000001,0.27759551,-0.740649427,-0.7050371240000001,-0.20316466100000002,-0.755923295,-1.1120761559999999,-0.37157903,0.0,88.0,0.0,1.0,0.0
116031316,Lethbridge Park - Tregear,1126.7,21997,5899,19.52338688,5.235643916,0.0,0.7065731609999999,0.648278351,-0.740649427,1.4593562219999998,-0.174149203,-0.647749741,0.5733078229999999,-0.432541176,0.0,126.0,0.0,0.0,0.0
116031317,Mount Druitt - Whalan,868.6,23616,5253,27.18857932,6.047662906,0.0,0.912672402,0.35872440299999997,-0.740649427,1.509926666,-0.003591506,0.278292798,-0.51178959,-1.032480842,0.0,130.0,0.0,0.0,1.0
116031318,Prospect Reservoir,3069.2,40,5,0.013032712,0.001629089,0.0,-2.088560277,-1.993565257,-0.740649427,-1.613912214,-0.522800785,-1.948574115,-1.3620533369999999,-0.770390224,0.0,69.0,0.0,0.0,0.0
116031319,Rooty Hill - Minchinbury,1462.4,21912,5062,14.98358862,3.46143326,0.0,0.695752632,0.273113251,-0.740649427,0.590277455,0.065462044,-0.610451495,-0.46780067799999997,-0.873463436,0.0,133.0,0.0,0.0,1.0
117011320,Banksmeadow,336.8,21,0,0.062351544,0.0,0.0,-2.0909789830000003,-1.9958063869999998,-0.740649427,-0.08570066800000001,-0.483790163,-1.948574115,-2.2992133790000002,-0.629244901,0.0,9.0,0.0,0.0,0.0
117011321,Botany,343.1,11679,2676,34.03963859,7.799475372000001,0.0,-0.606911687,-0.796353808,-0.740649427,-1.127887485,0.014494064,-0.9275373,-0.742071182,0.054690922,0.0,35.0,0.0,0.0,0.0
117011322,Mascot - Eastlakes,616.5,27068,8150,43.90592052,13.21978913,0.0,1.352113155,1.657234911,-0.740649427,0.386507282,0.144553681,-0.903554807,-0.422471692,-0.503197243,0.0,86.0,0.0,0.0,1.0
117011323,Pagewood - Hillsdale - Daceyville,311.9,12097,3340,38.78486694,10.70856044,0.0,-0.553700148,-0.498731794,-0.740649427,0.602969532,0.167947588,0.024459046,0.6154812270000001,0.68429313,0.0,41.0,0.0,1.0,0.0
117011324,Port Botany Industrial,280.4,7,0,0.024964337000000003,0.0,0.0,-2.0927611880000003,-1.9958063869999998,-0.740649427,-1.203994298,-0.308504341,-1.948574115,1.171749741,-1.4047686519999998,0.0,17.0,0.0,0.0,0.0
